index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,geographic_name,province,latitude,longitude
1,Advanced Facial & Nasal Surgery Centre,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5M 4G5,edmonton,ab,53.5462055,-113.491241
10,Alberta Children's Hospital,pediatric,Hospitals,Public Health Agency of Canada,,28,oki dr nw,T3B 6A8,calgary,ab,51.074582,-114.148426
100,Devon General Hospital,general,Hospitals,Public Health Agency of Canada,,101,erie st s,T9G 1A6,devon,ab,53.351493000000005,-113.730785
1000,Kimbelee Place,,Nursing and residential care facilities,Province of British Columbia,,12935,96 ave,V3V 7K6,surrey,bc,49.177418,-122.864118
1001,Kimberley Special Care Home,,Nursing and residential care facilities,Province of British Columbia,,386,2 ave,V1A 2Z6,kimberley,bc,49.6899979,-115.9896466
1002,Kinetic Energy Health and Wellness Centre,,Ambulatory health care services,Province of British Columbia,,207-450,lansdowne street,V2C 1Y4,kamloops,bc,50.67706,-120.3295
1003,King Edward House,,Nursing and residential care facilities,Province of British Columbia,,820,e king edward ave,V5V 2E4,vancouver,bc,49.2483529,-123.0870448
1004,Kingfisher Place,,Nursing and residential care facilities,Province of British Columbia,,4328,crystal drive,V1T 8V5,vernon,bc,50.2761527,-119.2445371
1005,Kinghaven Treatment Centre,,Nursing and residential care facilities,Province of British Columbia,,31250,king rd,V2T 6C2,abbotsford,bc,49.0307485,-122.358792
1006,Kings House,,Nursing and residential care facilities,Province of British Columbia,,8512,164 st,V4N 1E5,surrey,bc,49.157599,-122.767254
1007,Kinsmen Lodge,,Nursing and residential care facilities,Province of British Columbia,,9650,137a st,V3T 4H9,surrey,bc,49.1777346,-122.8417995
1009,Kinvillage,,Nursing and residential care facilities,Province of British Columbia,,5410,10 ave,V4M 3X8,delta,bc,49.0214852,-123.073648
101,Didsbury District Health Services,general,Hospitals,Public Health Agency of Canada,,1210,20 ave,T0M 0W0,didsbury,ab,51.661795,-114.123674
1012,Kitimat Hospital & Health Centre,general,Hospitals,Public Health Agency of Canada,,920,lahakas blvd s,V8C 2S3,kitimat,bc,54.0504835,-128.6472372
1013,Kiwanis Care Centre,,Nursing and residential care facilities,Province of British Columbia,,35,clute st,V3L 1Z5,new westminster,bc,49.2232118,-122.9150878
1015,Kiwanis Care Centre North Vancouver,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V7H 3A5,north vancouver,bc,49.3206294,-123.0737925
1017,Kiwanis Village Lodge,,Nursing and residential care facilities,Province of British Columbia,,1221,kiwanis cres,V9S 5Y1,nanaimo,bc,49.186109,-123.96893
1018,Knutsford Group Home,,Nursing and residential care facilities,Province of British Columbia,,3161,merritt princeton highway 5a,V0E 2A0,knutsford,bc,50.603467,-120.3104439
1019,Kootenay Boundary Regional Hospital,general,Hospitals,Public Health Agency of Canada,,1200,hospital bench,V1R 4M1,trail,bc,49.103275,-117.701449
102,Dr. Bryan Murray Professional Corporation,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T1J 2B9,lethbridge,ab,49.6945782,-112.8331033
1021,Kootenay Columbia House,,Nursing and residential care facilities,Province of British Columbia,,114,10 ave,V1N 1Y4,castlegar,bc,49.3279645,-117.6630835
1022,Kootenay Lake Hospital,general,Hospitals,Public Health Agency of Canada,,3,view st,V1L 2V1,nelson,bc,49.4950249,-117.2848169
1023,Kootenay Lake Medical Clinic,,Ambulatory health care services,Province of British Columbia,,1140,lakeside drive,V1L 5Z3,nelson,bc,49.49869,-117.2889
1024,Kootenay Street Village,,Nursing and residential care facilities,Province of British Columbia,,620,kootenay st n,V1C 3T9,cranbrook,bc,49.5183259,-115.758538
1025,Kopernik Lodge,,Nursing and residential care facilities,Province of British Columbia,,3150,rosemont dr,V5S 2C9,vancouver,bc,49.21522,-123.039
1026,Kwantlen Medical Clinic,,Ambulatory health care services,Province of British Columbia,,12818,72 avenue,V3W 2M9,surrey,bc,49.13365,-122.867417
1027,LA ROSA DE MATSQUI,,Nursing and residential care facilities,Province of British Columbia,,28711,huntingdon rd,V4X 1A8,abbotsford,bc,49.017373,-122.428874
1028,Ladner 1,,Nursing and residential care facilities,Province of British Columbia,,5281,westminster ave,V4K 2J4,delta,bc,49.099275,-123.0760699
1029,Lady Minto Gulf Islands Hospital,general,Hospitals,Public Health Agency of Canada,,135,crofton rd,V8K 1T1,salt spring island,bc,48.861445200000006,-123.5085986
