geographic_name,geographic_area_type_abbreviation,province,population_2021,population_2016,population_change_2016_2021,land_area_km2,population_density_km2
Corner Brook,CA,nl,29762,30969,-3.9,1122.58,26.5
Gander,CA,nl,13414,13234,1.4,2412.67,5.6
Grand Falls-Windsor,CA,nl,13853,14171,-2.2,54.84,252.6
St. John's,CMA,nl,212579,208418,2.0,931.56,228.2
Charlottetown,CA,pe,78858,71821,9.8,1112.43,70.9
Summerside,CA,pe,18157,16831,7.9,125.12,145.1
Cape Breton,CA,ns,98318,98722,-0.4,2457.21,40.0
Halifax,CMA,ns,465703,426932,9.1,7276.22,64.0
Kentville,CA,ns,26929,26222,2.7,607.05,44.4
New Glasgow,CA,ns,34397,34487,-0.3,2066.47,16.6
Truro,CA,ns,46157,45753,0.9,2732.53,16.9
Bathurst,CA,nb,31387,31110,0.9,2100.05,14.9
Campbellton (New Brunswick part / partie du Nouveau-Brunswick),CA,nb,11986,12047,-0.5,1090.49,11.0
Campbellton (partie du Québec / Quebec part) 2,CA,qc,1344,2632,-48.9,434.96,3.1
Edmundston,CA,nb,22144,21955,0.9,1582.36,14.0
Fredericton,CMA,nb,108610,102690,5.8,6014.66,18.1
Miramichi,CA,nb,27593,27518,0.3,7564.06,3.6
Moncton,CMA,nb,157717,144810,8.9,2562.47,61.5
Saint John,CMA,nb,130613,126202,3.5,3505.66,37.3
Alma,CA,qc,30331,30771,-1.4,194.92,155.6
Amos,CA,qc,18873,18872,0.0,2298.16,8.2
Baie-Comeau,CA,qc,26643,27692,-3.8,682.89,39.0
Cowansville,CA,qc,15234,13656,11.6,46.87,325.0
Dolbeau-Mistassini,CA,qc,15306,15750,-2.8,647.75,23.6
Drummondville,CMA,qc,101610,97149,4.6,1094.36,92.8
Granby,CA,qc,90833,85056,6.8,494.1,183.8
Joliette,CA,qc,52706,49439,6.6,108.66,485.0
Lachute,CA,qc,14100,12862,9.6,108.66,129.8
Matane,CA,qc,18474,18894,-2.2,865.87,21.3
Montréal 2,CMA,qc,4291732,4104074,4.6,4670.1,919.0
Québec,CMA,qc,839311,806406,4.1,3499.46,239.8
Rimouski,CA,qc,53944,53498,0.8,772.93,69.8
Rivière-du-Loup,CA,qc,30025,28902,3.9,543.02,55.3
Rouyn-Noranda,CA,qc,42313,42334,0.0,5963.57,7.1
Saguenay,CMA,qc,161567,161520,0.0,3133.53,51.6
Saint-Georges,CA,qc,34833,34176,1.9,365.21,95.4
Saint-Hyacinthe,CA,qc,59980,58201,3.1,259.38,231.2
Sainte-Agathe-des-Monts,CA,qc,19892,18010,10.4,210.96,94.3
Sainte-Marie,CA,qc,13134,13565,-3.2,107.55,122.1
Salaberry-de-Valleyfield,CA,qc,42787,40745,5.0,108.56,394.1
Sept-Îles,CA,qc,27729,28534,-2.8,1750.44,15.8
Shawinigan,CA,qc,49620,49349,0.5,729.98,68.0
Sherbrooke,CMA,qc,227398,212105,7.2,1458.1,156.0
Sorel-Tracy,CA,qc,41934,41629,0.7,170.31,246.2
Thetford Mines,CA,qc,28287,27564,2.6,405.92,69.7
Trois-Rivières,CMA,qc,161489,156042,3.5,1038.64,155.5
Val-d'Or,CA,qc,34037,33871,0.5,3539.98,9.6
Victoriaville,CA,qc,52936,51336,3.1,378.1,140.0
Barrie,CMA,on,212856,197059,8.0,897.26,237.2
Belleville - Quinte West,CMA,on,111184,103401,7.5,1337.5,83.1
Brantford 2,CMA,on,144162,134203,7.4,1074.0,134.2
Brockville,CA,on,31661,31200,1.5,576.87,54.9
Centre Wellington,CA,on,31093,28191,10.3,409.41,75.9
Chatham-Kent,CA,on,104316,102042,2.2,2464.52,42.3
Cobourg,CA,on,20519,19440,5.6,22.41,915.7
Collingwood,CA,on,24811,21793,13.8,33.15,748.3
Cornwall,CA,on,61415,59699,2.9,509.21,120.6
Elliot Lake,CA,on,11372,10741,5.9,696.06,16.3
Essa,CA,on,22970,21083,9.0,279.92,82.1
