,,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
"Geographic name","Geographic area type abbreviation","Province or territory abbreviation","2021","2021","2021","2021","2021"
"Canada 2","Country","...","36,991,981","35,151,728","5.2","8,788,702.80","4.2"
"Newfoundland and Labrador","PR","N.L.","510,550","519,716","-1.8","358,170.37","1.4"
"Corner Brook","CA","N.L.","29,762","30,969r","-3.9","1,122.58","26.5"
"Gander","CA","N.L.","13,414","13,234","1.4","2,412.67","5.6"
"Grand Falls-Windsor","CA","N.L.","13,853","14,171","-2.2","54.84","252.6"
"St. John's","CMA","N.L.","212,579","208,418r","2.0","931.56","228.2"
"Prince Edward Island","PR","P.E.I.","154,331","142,907","8.0","5,681.18","27.2"
"Charlottetown","CA","P.E.I.","78,858","71,821r","9.8","1,112.43","70.9"
"Summerside","CA","P.E.I.","18,157","16,831r","7.9","125.12","145.1"
"Nova Scotia","PR","N.S.","969,383","923,598","5.0","52,824.71","18.4"
"Cape Breton","CA","N.S.","98,318","98,722","-0.4","2,457.21","40.0"
"Halifax","CMA","N.S.","465,703","426,932r","9.1","7,276.22","64.0"
"Kentville","CA","N.S.","26,929","26,222","2.7","607.05","44.4"
"New Glasgow","CA","N.S.","34,397","34,487","-0.3","2,066.47","16.6"
"Truro","CA","N.S.","46,157","45,753","0.9","2,732.53","16.9"
"New Brunswick","PR","N.B.","775,610","747,101","3.8","71,248.50","10.9"
"Bathurst","CA","N.B.","31,387","31,110","0.9","2,100.05","14.9"
"Campbellton 2","CA","N.B. / Que.","13,330","14,679r","-9.2","1,525.45","8.7"
"Campbellton (New Brunswick part / partie du Nouveau-Brunswick)","CA","N.B.","11,986","12,047r","-0.5","1,090.49","11.0"
"Campbellton (partie du Québec / Quebec part) 2","CA","Que.","1,344","2,632","-48.9","434.96","3.1"
"Edmundston","CA","N.B.","22,144","21,955r","0.9","1,582.36","14.0"
"Fredericton","CMA","N.B.","108,610","102,690r","5.8","6,014.66","18.1"
"Miramichi","CA","N.B.","27,593","27,518r","0.3","7,564.06","3.6"
"Moncton","CMA","N.B.","157,717","144,810","8.9","2,562.47","61.5"
"Saint John","CMA","N.B.","130,613","126,202","3.5","3,505.66","37.3"
"Quebec 2","PR","Que.","8,501,833","8,164,361","4.1","1,298,599.75","6.5"
"Alma","CA","Que.","30,331","30,771r","-1.4","194.92","155.6"
"Amos","CA","Que.","18,873","18,872r","0.0","2,298.16","8.2"
"Baie-Comeau","CA","Que.","26,643","27,692","-3.8","682.89","39.0"
"Cowansville","CA","Que.","15,234","13,656","11.6","46.87","325.0"
"Dolbeau-Mistassini","CA","Que.","15,306","15,750r","-2.8","647.75","23.6"
"Drummondville","CMA","Que.","101,610","97,149r","4.6","1,094.36","92.8"
"Granby","CA","Que.","90,833","85,056","6.8","494.10","183.8"
"Joliette","CA","Que.","52,706","49,439","6.6","108.66","485.0"
"Lachute","CA","Que.","14,100","12,862","9.6","108.66","129.8"
"Matane","CA","Que.","18,474","18,894r","-2.2","865.87","21.3"
"Montréal 2","CMA","Que.","4,291,732","4,104,074r","4.6","4,670.10","919.0"
"Québec","CMA","Que.","839,311","806,406r","4.1","3,499.46","239.8"
